HORARIOS;SEGUNDA;TERCA;QUARTA;QUINTA;SEXTA;SABADO;
07:00 - 07:30;CAFE;CAFE;CAFE;CAFE;CAFE;CAFE;
07:30 - 08:00;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
08:00 - 08:30;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
08:30 - 09:00;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
09:00 - 09:30;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
09:30 - 10:00;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
10:00 - 10:30;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
10:30 - 11:00;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
11:00 - 11:30;ALMOCO;ALMOCO;ALMOCO;ALMOCO;ALMOCO;ALMOCO;
11:30 - 12:00;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;ESTAGIO;--;
12:00 - 12:30;ESTUDO COMP0455;ESTUDO COMP0455;ESTUDO COMP0455;ESTUDO COMP0455;ESTUDO COMP0481;--;
12:30 - 13:00;ESTUDO COMP0481;ESTUDO COMP0481;ESTUDO COMP0481;ESTUDO COMP0408;ESTUDO COMP0408;--;
13:00 - 13:30;ESTUDO COMP0408;ESTUDO COMP0408;--;--;--;--;
13:30 - 14:00;--;--;--;--;--;--;
14:00 - 14:30;--;--;--;--;--;--;
14:30 - 15:00;--;--;--;--;--;--;
15:00 - 15:30;--;COMP0455;--;COMP0455;--;--;
15:30 - 16:00;--;COMP0455;--;COMP0455;--;--;
16:00 - 16:30;--;COMP0455;--;COMP0455;--;--;
16:30 - 17:00;--;COMP0455;--;COMP0455;--;--;
17:00 - 17:30;--;--;--;--;--;--;
17:30 - 18:00;--;--;--;--;--;--;
18:00 - 18:30;JANTAR;JANTAR;JANTAR;JANTAR;JANTAR;JANTAR;
18:30 - 19:00;--;--;--;--;--;--;
19:00 - 19:30;--;--;--;COMP0481;--;--;
19:30 - 20:00;--;--;--;COMP0481;--;--;
20:00 - 20:30;--;--;--;COMP0481;--;--;
20:30 - 21:00;--;--;--;COMP0481;--;--;
21:00 - 21:30;COMP0408;--;COMP0408;--;--;--;
21:30 - 22:00;COMP0408;--;COMP0408;--;--;--;
22:00 - 22:30;COMP0408;--;COMP0408;--;--;--;
22:30 - 23:00;COMP0408;--;COMP0408;--;--;--;
